name,brand,price,category,color,desc,rating,stock,keywords
SmileTech Office Item 1,SmileTech,1561,Office,Multi,SmileTech Office Item 1 is a high-quality office product by SmileTech.,4.4,44,"office,smiletech,multi"
BookWorld Office Item 2,BookWorld,1733,Office,Multi,BookWorld Office Item 2 is a high-quality office product by BookWorld.,4.4,70,"office,bookworld,multi"
PhoneCo Books Item 3,PhoneCo,1666,Books,Brown,PhoneCo Books Item 3 is a high-quality books product by PhoneCo.,3.8,18,"books,phoneco,brown"
TechBrand Home Appliances Item 4,TechBrand,1227,Home Appliances,N/A,TechBrand Home Appliances Item 4 is a high-quality home appliances product by TechBrand.,3.5,2,"home appliances,techbrand,n/a"
HydroFlow Beauty Item 5,HydroFlow,771,Beauty,Red,HydroFlow Beauty Item 5 is a high-quality beauty product by HydroFlow.,5.0,46,"beauty,hydroflow,red"
FitLife Home Appliances Item 6,FitLife,349,Home Appliances,Silver,FitLife Home Appliances Item 6 is a high-quality home appliances product by FitLife.,3.6,94,"home appliances,fitlife,silver"
HomeBrew Clothing Item 7,HomeBrew,204,Clothing,Purple,HomeBrew Clothing Item 7 is a high-quality clothing product by HomeBrew.,4.5,44,"clothing,homebrew,purple"
BrightTech Office Item 8,BrightTech,78,Office,Brown,BrightTech Office Item 8 is a high-quality office product by BrightTech.,4.9,25,"office,brighttech,brown"
GreenWear Sports Item 9,GreenWear,856,Sports,White,GreenWear Sports Item 9 is a high-quality sports product by GreenWear.,3.8,56,"sports,greenwear,white"
BrightTech Clothing Item 10,BrightTech,796,Clothing,White,BrightTech Clothing Item 10 is a high-quality clothing product by BrightTech.,4.9,72,"clothing,brighttech,white"
PureBeauty Sports Item 11,PureBeauty,1046,Sports,Silver,PureBeauty Sports Item 11 is a high-quality sports product by PureBeauty.,4.9,84,"sports,purebeauty,silver"
SmileTech Clothing Item 12,SmileTech,1177,Clothing,Green,SmileTech Clothing Item 12 is a high-quality clothing product by SmileTech.,4.9,60,"clothing,smiletech,green"
SmileTech Toys Item 13,SmileTech,41,Toys,Black,SmileTech Toys Item 13 is a high-quality toys product by SmileTech.,4.1,39,"toys,smiletech,black"
BookWorld Sports Item 14,BookWorld,1416,Sports,Red,BookWorld Sports Item 14 is a high-quality sports product by BookWorld.,4.6,77,"sports,bookworld,red"
KitchenPro Home Appliances Item 15,KitchenPro,1305,Home Appliances,Silver,KitchenPro Home Appliances Item 15 is a high-quality home appliances product by KitchenPro.,4.9,85,"home appliances,kitchenpro,silver"
TechBrand Clothing Item 16,TechBrand,628,Clothing,Silver,TechBrand Clothing Item 16 is a high-quality clothing product by TechBrand.,4.0,72,"clothing,techbrand,silver"
SoundMax Sports Item 17,SoundMax,772,Sports,Black,SoundMax Sports Item 17 is a high-quality sports product by SoundMax.,5.0,84,"sports,soundmax,black"
PureBeauty Home Appliances Item 18,PureBeauty,90,Home Appliances,Silver,PureBeauty Home Appliances Item 18 is a high-quality home appliances product by PureBeauty.,4.6,11,"home appliances,purebeauty,silver"
Elegance Footwear Item 19,Elegance,635,Footwear,Black,Elegance Footwear Item 19 is a high-quality footwear product by Elegance.,4.3,90,"footwear,elegance,black"
Elegance Office Item 20,Elegance,414,Office,Multi,Elegance Office Item 20 is a high-quality office product by Elegance.,4.9,59,"office,elegance,multi"
PhoneCo Footwear Item 21,PhoneCo,1618,Footwear,Purple,PhoneCo Footwear Item 21 is a high-quality footwear product by PhoneCo.,4.5,87,"footwear,phoneco,purple"
BookWorld Accessories Item 22,BookWorld,252,Accessories,Purple,BookWorld Accessories Item 22 is a high-quality accessories product by BookWorld.,4.0,90,"accessories,bookworld,purple"
